"X","Y","Z"
1756990,5917010,0
1757000,5917010,0
1757010,5917010,0
1757020,5917010,0
1757030,5917010,0
1757040,5917010,0
1757050,5917010,0
1757060,5917010,0
1757070,5917010,0
1757080,5917010,0
1757090,5917010,0
1757100,5917010,0
1757110,5917010,0
1757120,5917010,0
1757130,5917010,0
1757140,5917010,0
1757150,5917010,0
1757160,5917010,0
1757170,5917010,0
1757180,5917010,0
1757190,5917010,0
1757200,5917010,0
1757210,5917010,0
1757220,5917010,0
1757230,5917010,0
1757240,5917010,0
1757250,5917010,0
1757260,5917010,0
1757270,5917010,0
1757280,5917010,0
1757290,5917010,0
1757300,5917010,0
1757310,5917010,0
1757320,5917010,0
1757330,5917010,0
1757340,5917010,0
1757350,5917010,0
1757360,5917010,0
1757370,5917010,0
1757380,5917010,0
1757390,5917010,0
1757400,5917010,0
1757410,5917010,0
1757420,5917010,0
1757430,5917010,0
1757440,5917010,0
1757450,5917010,0
1757460,5917010,0
1757470,5917010,0
1757480,5917010,0
1757490,5917010,0
1757500,5917010,0
1757510,5917010,0
1757520,5917010,0
1757530,5917010,0
1757540,5917010,0
1757550,5917010,0
1757560,5917010,0
1757570,5917010,0
1757580,5917010,0
1757590,5917010,0
1756990,5917020,0
1757000,5917020,0
1757010,5917020,0
1757020,5917020,0
1757030,5917020,0
1757040,5917020,0
1757050,5917020,0
1757060,5917020,0
1757070,5917020,0
1757080,5917020,0
1757090,5917020,0
1757100,5917020,0
1757110,5917020,0
1757120,5917020,0
1757130,5917020,0
1757140,5917020,0
1757150,5917020,0
1757160,5917020,0
1757170,5917020,0
1757180,5917020,0
1757190,5917020,0
1757200,5917020,0
1757210,5917020,0
1757220,5917020,0
1757230,5917020,0
1757240,5917020,0
1757250,5917020,0
1757260,5917020,0
1757270,5917020,0
1757280,5917020,0
1757290,5917020,0
1757300,5917020,0
1757310,5917020,0
1757320,5917020,0
1757330,5917020,0
1757340,5917020,0
1757350,5917020,0
1757360,5917020,0
1757370,5917020,0
1757380,5917020,0
1757390,5917020,0
1757400,5917020,0
1757410,5917020,0
1757420,5917020,0
1757430,5917020,0
1757440,5917020,0
1757450,5917020,0
1757460,5917020,0
1757470,5917020,0
1757480,5917020,0
1757490,5917020,0
1757500,5917020,0
1757510,5917020,0
1757520,5917020,0
1757530,5917020,0
1757540,5917020,0
1757550,5917020,0
1757560,5917020,0
1757570,5917020,0
1757580,5917020,0
1757590,5917020,0
1756990,5917030,0
1757000,5917030,0
1757010,5917030,0
1757020,5917030,0
1757030,5917030,0
1757040,5917030,0
1757050,5917030,0
1757060,5917030,0
1757070,5917030,0
1757080,5917030,0
1757090,5917030,0
1757100,5917030,0
1757110,5917030,0
1757120,5917030,0
1757130,5917030,0
1757140,5917030,0
1757150,5917030,0
1757160,5917030,0
1757170,5917030,0
1757180,5917030,0
1757190,5917030,0
1757200,5917030,0
1757210,5917030,0
1757220,5917030,0
1757230,5917030,0
1757240,5917030,0
1757250,5917030,0
1757260,5917030,0
1757270,5917030,0
1757280,5917030,0
1757290,5917030,0
1757300,5917030,0
1757310,5917030,0
1757320,5917030,0
1757330,5917030,0
1757340,5917030,0
1757350,5917030,0
1757360,5917030,0
1757370,5917030,0
1757380,5917030,0
1757390,5917030,0
1757400,5917030,0
1757410,5917030,0
1757420,5917030,0
1757430,5917030,0
1757440,5917030,0
1757450,5917030,0
1757460,5917030,0
1757470,5917030,0
1757480,5917030,0
1757490,5917030,0
1757500,5917030,0
1757510,5917030,0
1757520,5917030,0
1757530,5917030,0
1757540,5917030,0
1757550,5917030,0
1757560,5917030,0
1757570,5917030,0
1757580,5917030,0
1757590,5917030,0
1756990,5917040,0
1757000,5917040,0
1757010,5917040,0
1757020,5917040,0
1757030,5917040,0
1757040,5917040,0
1757050,5917040,0
1757060,5917040,0
1757070,5917040,0
1757080,5917040,0
1757090,5917040,0
1757100,5917040,0
1757110,5917040,0
1757120,5917040,0
1757130,5917040,0
1757140,5917040,0
1757150,5917040,0
1757160,5917040,0
1757170,5917040,0
1757180,5917040,0
1757190,5917040,0
1757200,5917040,0
1757210,5917040,0
1757220,5917040,0
1757230,5917040,0
1757240,5917040,0
1757250,5917040,0
1757260,5917040,0
1757270,5917040,0
1757280,5917040,0
1757290,5917040,0
1757300,5917040,0
1757310,5917040,0
1757320,5917040,0
1757330,5917040,0
1757340,5917040,0
1757350,5917040,0
1757360,5917040,0
1757370,5917040,0
1757380,5917040,0
1757390,5917040,0
1757400,5917040,0
1757410,5917040,0
1757420,5917040,0
1757430,5917040,0
1757440,5917040,0
1757450,5917040,0
1757460,5917040,0
1757470,5917040,0
1757480,5917040,0
1757490,5917040,0
1757500,5917040,0
1757510,5917040,0
1757520,5917040,0
1757530,5917040,0
1757540,5917040,0
1757550,5917040,0
1757560,5917040,0
1757570,5917040,0
1757580,5917040,0
1757590,5917040,0
1756990,5917050,0
1757000,5917050,0
1757010,5917050,0
1757020,5917050,0
1757030,5917050,0
1757040,5917050,0
1757050,5917050,0
1757060,5917050,0
1757070,5917050,0
1757080,5917050,0
1757090,5917050,0
1757100,5917050,0
1757110,5917050,0
1757120,5917050,0
1757130,5917050,0
1757140,5917050,0
1757150,5917050,0
1757160,5917050,0
1757170,5917050,0
1757180,5917050,0
1757190,5917050,0
1757200,5917050,0
1757210,5917050,0
1757220,5917050,0
1757230,5917050,0
1757240,5917050,0
1757250,5917050,0
1757260,5917050,0
1757270,5917050,0
1757280,5917050,0
1757290,5917050,0
1757300,5917050,0
1757310,5917050,0
1757320,5917050,0
1757330,5917050,0
1757340,5917050,0
1757350,5917050,0
1757360,5917050,0
1757370,5917050,0
1757380,5917050,0
1757390,5917050,0
1757400,5917050,0
1757410,5917050,0
1757420,5917050,0
1757430,5917050,0
1757440,5917050,0
1757450,5917050,0
1757460,5917050,0
1757470,5917050,0
1757480,5917050,0
1757490,5917050,0
1757500,5917050,0
1757510,5917050,0
1757520,5917050,0
1757530,5917050,0
1757540,5917050,0
1757550,5917050,0
1757560,5917050,0
1757570,5917050,0
1757580,5917050,0
1757590,5917050,0
1756990,5917060,0
1757000,5917060,0
1757010,5917060,0
1757020,5917060,0
1757030,5917060,0
1757040,5917060,0
1757050,5917060,0
1757060,5917060,0
1757070,5917060,0
1757080,5917060,0
1757090,5917060,0
1757100,5917060,0
1757110,5917060,0
1757120,5917060,0
1757130,5917060,0
1757140,5917060,0
1757150,5917060,0
1757160,5917060,0
1757170,5917060,0
1757180,5917060,0
1757190,5917060,0
1757200,5917060,0
1757210,5917060,0
1757220,5917060,0
1757230,5917060,0
1757240,5917060,0
1757250,5917060,0
1757260,5917060,0
1757270,5917060,0
1757280,5917060,0
1757290,5917060,0
1757300,5917060,0
1757310,5917060,0
1757320,5917060,0
1757330,5917060,0
1757340,5917060,0
1757350,5917060,0
1757360,5917060,0
1757370,5917060,0
1757380,5917060,0
1757390,5917060,0
1757400,5917060,0
1757410,5917060,0
1757420,5917060,0
1757430,5917060,0
1757440,5917060,0
1757450,5917060,0
1757460,5917060,0
1757470,5917060,0
1757480,5917060,0
1757490,5917060,0
1757500,5917060,0
1757510,5917060,0
1757520,5917060,0
1757530,5917060,0
1757540,5917060,0
1757550,5917060,0
1757560,5917060,0
1757570,5917060,0
1757580,5917060,0
1757590,5917060,0
1756990,5917070,0
1757000,5917070,0
1757010,5917070,0
1757020,5917070,0
1757030,5917070,0
1757040,5917070,0
1757050,5917070,0
1757060,5917070,0
1757070,5917070,0
1757080,5917070,0
1757090,5917070,0
1757100,5917070,0
1757110,5917070,0
1757120,5917070,0
1757130,5917070,0
1757140,5917070,0
1757150,5917070,0
