CUSP_ID,NZMGE,NZMGN,ELAPSED_DAYS,MAG,DEPTH,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND
3366146,2443304,5739317,0,7.1,10.8659,2010,9,3,16,35,41.29099
3366155,2443870,5726095,0.014221674,5.575,10.1275,2010,9,3,16,56,10.04361
3366157,2450379,5727242,0.021407002,4.689,9.78,2010,9,3,17,6,30.85598
3366167,2436049,5731785,0.034988902,4.743,6.9684,2010,9,3,17,26,4.33215
3366174,2439374,5738343,0.043402984,4.444,11.1684,2010,9,3,17,38,11.30883
3366177,2443535,5728761,0.049069097,4.291,14.6389,2010,9,3,17,46,20.86095
3366182,2439204,5737436,0.05512199,4.556,3.3487,2010,9,3,17,55,3.83093
3366184,2457113,5732147,0.059379049,4.451,2.5002,2010,9,3,18,1,11.64082
3366187,2474322,5739570,0.061407478,4.081,23.8697,2010,9,3,18,4,6.89712
3366188,2464023,5733294,0.063562122,3.946,9.3183,2010,9,3,18,7,13.05836
3366191,2444603,5732814,0.069264902,4.135,5,2010,9,3,18,15,25.77854
3366192,2425391,5740712,0.071040599,4.312,16.1683,2010,9,3,18,17,59.19874
3375021,2462673,5728434,0.071090885,4.496,5,2010,9,3,18,18,3.54347
3366196,2443247,5748668,0.075275784,4.028,5.8776,2010,9,3,18,24,5.11876
3366198,2458177,5731744,0.081648488,4.185,7.4981,2010,9,3,18,33,15.72036
3366206,2460401,5733789,0.096492424,3.929,5,2010,9,3,18,54,38.23641
3366209,2459739,5736311,0.096496081,3.862,5,2010,9,3,18,54,38.55242
3366212,2439204,5735005,0.103241258,4.321,5,2010,9,3,19,4,21.33568
3366213,2445714,5728446,0.105090798,4.81,11.0969,2010,9,3,19,7,1.13591
3366215,2464049,5729574,0.109486291,4.572,5.1518,2010,9,3,19,13,20.90656
3366219,2480799,5721838,0.115361209,3.642,18.9522,2010,9,3,19,21,48.49945
3366227,2429008,5736691,0.136857608,3.976,8.9827,2010,9,3,19,52,45.78835
3366230,2461919,5733647,0.139675678,5.092,5,2010,9,3,19,56,49.26957
3366241,2460659,5735592,0.152360406,4.953,5,2010,9,3,20,15,5.2301
3366254,2449049,5733827,0.177450622,3.258,6.5937,2010,9,3,20,51,13.02475
3366263,2456808,5738080,0.191760959,3.342,5,2010,9,3,21,11,49.43784
3366266,2452420,5735809,0.198358083,3.931,5,2010,9,3,21,21,19.42937
3366269,2454320,5734196,0.20534082,3.084,5,2010,9,3,21,31,22.73784
3366274,2451529,5737632,0.211673075,3.685,9.9709,2010,9,3,21,40,29.84469
3366275,2460328,5735456,0.21321887,4.072,5,2010,9,3,21,42,43.40134
3366278,2443100,5736759,0.218427171,3.381,6.309,2010,9,3,21,50,13.39856
3366281,2454210,5736038,0.2247631,3.236,5,2010,9,3,21,59,20.82281
3366288,2461786,5732644,0.237331848,4.362,5.2038,2010,9,3,22,17,26.76263
3366302,2457545,5734868,0.260123556,4.029,12,2010,9,3,22,50,15.96624
3366305,2457212,5733715,0.266062205,3.922,5,2010,9,3,22,58,49.06551
3366308,2455380,5773828,0.272626922,3.843,12,2010,9,3,23,8,16.25707
3366310,2443652,5740903,0.275747448,5.322,7.4421,2010,9,3,23,12,45.87051
3366313,2442567,5740557,0.277238146,5.311,6.2081,2010,9,3,23,14,54.66679
3366329,2459448,5740141,0.303303867,3.92,5,2010,9,3,23,52,26.74508
3366340,2448823,5735006,0.321107814,3.983,6.3,2010,9,4,0,18,5.00611
3366351,2420928,5737575,0.341587939,3.471,5,2010,9,4,0,47,34.4889
3366354,2455901,5735036,0.348242727,2.712,5,2010,9,4,0,57,9.46261
3366357,2448877,5740737,0.354670043,2.489,5,2010,9,4,1,6,24.78268
3366366,2440977,5746169,0.369031638,3.256,5,2010,9,4,1,27,5.62453
3366374,2452861,5736039,0.383204838,2.957,12,2010,9,4,1,47,30.189
3366375,2457424,5737210,0.384527706,3.987,21.3191,2010,9,4,1,49,24.48475
3366376,2456202,5734437,0.386579581,4.432,5,2010,9,4,1,52,21.76678
3366379,2448152,5724911,0.392617406,4.377,13.8811,2010,9,4,2,1,3.43491
3366422,2450156,5733784,0.392629054,4.129,10.5796,2010,9,4,2,1,4.44127
3366383,2448671,5748670,0.396364698,3.539,5,2010,9,4,2,6,27.20094
3366389,2463664,5735193,0.407618249,3.468,2.5314,2010,9,4,2,22,39.50772
3366392,2438424,5732019,0.412904361,2.955,5,2010,9,4,2,30,16.22779
3366393,2517669,5717620,0.414779543,3.294,12,2010,9,4,2,32,58.24353
3366395,2460512,5746811,0.417532203,3.132,1.8149,2010,9,4,2,36,56.07331
3366397,2460365,5755345,0.422086087,2.972,4.0862,2010,9,4,2,43,29.52894
3366401,2459177,5739410,0.426825982,3.863,12.6686,2010,9,4,2,50,19.05587
3366400,2455227,5744325,0.426828452,3.797,10.4159,2010,9,4,2,50,19.26927
3366419,2451016,5736581,0.458112077,3.058,5,2010,9,4,3,35,22.17443
3366420,2472861,5751947,0.461364301,3.35,17.2974,2010,9,4,3,40,3.16659
3366423,2441693,5731722,0.464272569,3.984,12.6567,2010,9,4,3,44,14.44093
3366427,2464842,5738072,0.472640278,3.869,12.9673,2010,9,4,3,56,17.41098
3366434,2425027,5738340,0.477894041,3.282,6.796,2010,9,4,4,3,51.33614
3366437,2458538,5728278,0.482975159,3.563,5,2010,9,4,4,11,10.34474
3366440,2453176,5732537,0.490737038,2.862,13.9543,2010,9,4,4,22,20.97105
3366444,2455966,5734998,0.497465312,3.175,12,2010,9,4,4,32,2.29392
3366445,2433144,5735377,0.498640998,3.886,1.9226,2010,9,4,4,33,43.87326
3366447,2418546,5732296,0.503993596,2.353,4,2010,9,4,4,41,26.3377
3366449,2509138,5717377,0.506033163,3.826,3.959,2010,9,4,4,44,22.55631
3366450,2462586,5731568,0.509001688,4.175,5,2010,9,4,4,48,39.03686
3366452,2426695,5736761,0.514063233,5.38,4.9897,2010,9,4,4,55,56.35435
3366456,2429990,5734787,0.52005005,3.053,12.718,2010,9,4,5,4,33.61528
3366457,2462592,5745885,0.521889853,3.705,12.1285,2010,9,4,5,7,12.57425
3366465,2459963,5727107,0.534266856,3.512,12,2010,9,4,5,25,1.94734
3366469,2453607,5737621,0.539833024,3.349,12,2010,9,4,5,33,2.86429
3366486,2462296,5723508,0.575400445,3.187,12,2010,9,4,6,24,15.88945
3366490,2447776,5729022,0.583391653,3.792,5,2010,9,4,6,35,46.32985
3366492,2451164,5727453,0.585581594,3.784,12,2010,9,4,6,38,55.5407
3366499,2459538,5733890,0.596181268,4.171,4.3878,2010,9,4,6,54,11.35258
3366503,2459025,5733919,0.602462315,4.484,4.007,2010,9,4,7,3,14.03503
3366504,2459273,5735012,0.605165771,4.727,4.2402,2010,9,4,7,7,7.61364
3366506,2463289,5739947,0.609470241,3.801,12,2010,9,4,7,13,19.51982
3366512,2468948,5733217,0.620607328,3.476,12,2010,9,4,7,29,21.76409
3366513,2481678,5726895,0.622280326,3.529,5,2010,9,4,7,31,46.31113
3366525,2452046,5742637,0.645236888,3.56,12,2010,9,4,8,4,49.75807
3366542,2454420,5724560,0.674385609,3.915,5,2010,9,4,8,46,48.20765
3366544,2417591,5737569,0.679702436,4.668,8.5835,2010,9,4,8,54,27.58148
3366560,2471155,5730312,0.709161043,3.433,12,2010,9,4,9,36,52.80514
3366561,2446673,5744426,0.71105704,2.968,8.0936,2010,9,4,9,39,36.61926
3366571,2468205,5731432,0.727438578,3.777,12,2010,9,4,10,3,11.98416
3366576,2444303,5721035,0.736662637,3.082,17.0296,2010,9,4,10,16,28.94286
3366582,2463110,5736481,0.743788383,3.181,5,2010,9,4,10,26,44.60725
3366584,2417002,5756327,0.747865595,3.078,19.1459,2010,9,4,10,32,36.87842
3366585,2460067,5731625,0.74943274,4.607,5,2010,9,4,10,34,52.27969
3366586,2426976,5772505,0.751618735,4.892,7.6655,2010,9,4,10,38,1.14971
3366600,2442338,5730833,0.77262122,3.534,5,2010,9,4,11,8,15.76444
3366609,2462646,5737378,0.785909616,3.821,20.1085,2010,9,4,11,27,23.88182
3366615,2418085,5739677,0.796903024,4.099,10.4456,2010,9,4,11,43,13.71227
3366617,2465275,5737091,0.800487578,2.883,5.0598,2010,9,4,11,48,23.41771
3366618,2464258,5735809,0.802066575,2.761,12.3436,2010,9,4,11,50,39.84304
3366621,2431984,5725302,0.809393866,3.247,2.3842,2010,9,4,12,1,12.92101
3366623,2420894,5738054,0.813170003,2.675,5,2010,9,4,12,6,39.17927
3366624,2453743,5737901,0.815816484,3.773,6.0305,2010,9,4,12,10,27.83524
3366627,2434426,5771669,0.818393956,3.382,5,2010,9,4,12,14,10.52878
3366628,2474266,5737531,0.82078136,2.471,5,2010,9,4,12,17,36.8005
3366629,2464554,5737430,0.822486774,3.05,17.4836,2010,9,4,12,20,4.14828
3366630,2450362,5761386,0.823905162,2.843,1.0398,2010,9,4,12,22,6.69695
3366631,2425753,5736116,0.82645867,2.916,0.6613,2010,9,4,12,25,47.32007
3366633,2450391,5739153,0.828913531,2.613,7.1869,2010,9,4,12,29,19.42005
3366634,2468774,5727449,0.832238753,2.739,15.3418,2010,9,4,12,34,6.71925
3366637,2431233,5736853,0.8367733,3.415,5,2010,9,4,12,40,38.50413
3366638,2466385,5733525,0.838517925,2.791,5.2538,2010,9,4,12,43,9.23973
3366642,2458624,5733258,0.844132859,3.115,15.5667,2010,9,4,12,51,14.37
3366643,2428488,5729061,0.845961894,3.442,6.5514,2010,9,4,12,53,52.39864
3366644,2440602,5747585,0.848476464,3.802,7.6419,2010,9,4,12,57,29.65752
3366645,2450674,5735618,0.851310686,3.317,12.9841,2010,9,4,13,1,34.53423
3366664,2455178,5741052,0.883028649,3.842,12,2010,9,4,13,47,14.96629
3366667,2422094,5733993,0.887844391,2.918,2.1741,2010,9,4,13,54,11.0464
3366668,2458006,5735526,0.889172589,2.818,9.78,2010,9,4,13,56,5.80265
3366669,2445377,5744416,0.890799369,3.22,5.9474,2010,9,4,13,58,26.35649
3366677,2438473,5734211,0.906515919,3.591,12,2010,9,4,14,21,4.26637
3366679,2451630,5742862,0.909809996,3.526,4.9793,2010,9,4,14,25,48.87461
3366680,2392103,5799654,0.911912205,3.652,32.3432,2010,9,4,14,28,50.50553
3366683,2444035,5745957,0.916788269,3.363,7.244,2010,9,4,14,35,51.79745
3366684,2445895,5737766,0.919615544,2.844,5,2010,9,4,14,39,56.07401
3366686,2464335,5726741,0.92116727,3.908,5,2010,9,4,14,42,10.14308
3366721,2460915,5730081,0.981295482,4.008,4.8793,2010,9,4,16,8,45.22061
3366724,2426751,5739801,0.988765407,3.103,5,2010,9,4,16,19,30.62218
3366726,2433774,5732282,0.991410626,4.407,3.1974,2010,9,4,16,23,19.16911
3366729,2461618,5739847,0.996963452,3.793,7.1334,2010,9,4,16,31,18.93325
3366734,2446112,5736755,1.003048409,3.4,12,2010,9,4,16,40,4.67351
3366746,2445110,5747578,1.022287816,3.099,6.8639,2010,9,4,17,7,46.95832
3366748,2429224,5732188,1.026743352,2.905,5.1818,2010,9,4,17,14,11.91657
3366750,2437887,5727228,1.029336901,4.947,7.0364,2010,9,4,17,17,55.9992
3366751,2440513,5731056,1.031140041,4.999,5,2010,9,4,17,20,31.79057
3366754,2444597,5734580,1.036788749,4.094,12.6462,2010,9,4,17,28,39.83889
3366756,2457108,5741085,1.040844276,2.594,4.7887,2010,9,4,17,34,30.2364
3366765,2440251,5730003,1.05384073,4.394,3.5507,2010,9,4,17,53,13.1301
3366774,2462713,5733828,1.068073975,3.472,12.5412,2010,9,4,18,13,42.88245
3366784,2421935,5729745,1.084182584,4.281,5,2010,9,4,18,36,54.66626
3366786,2462633,5732801,1.087990183,2.727,15.6059,2010,9,4,18,42,23.6428
3366794,2439378,5730016,1.100136151,4.321,5,2010,9,4,18,59,53.05443
3366799,2467691,5728936,1.108235504,3.748,13.4894,2010,9,4,19,11,32.83857
3366806,2426235,5736164,1.121650869,3.68,5,2010,9,4,19,30,51.92606
3366810,2451756,5730990,1.129230622,4.103,5,2010,9,4,19,41,46.81672
3366813,2418074,5739486,1.136077649,4.009,15.1038,2010,9,4,19,51,38.3999
3366821,2459029,5728088,1.151542281,4.286,5,2010,9,4,20,13,54.54407
3366823,2448235,5739529,1.156248235,3.466,12,2010,9,4,20,20,41.13847
3366829,2469525,5733030,1.168592422,3.175,12,2010,9,4,20,38,27.67627
3366831,2473991,5730640,1.172315338,3.567,5,2010,9,4,20,43,49.33622
3366858,2461849,5731491,1.215600316,4.382,5.7499,2010,9,4,21,46,9.15828
3366860,2451142,5732362,1.217653976,3.817,12,2010,9,4,21,49,6.59449
3366865,2459438,5729395,1.227788113,4.051,5,2010,9,4,22,3,42.18393
3366867,2409537,5753097,1.231660323,3.163,5,2010,9,4,22,9,16.74289
3366870,2462375,5732505,1.236251268,4.209,5.82,2010,9,4,22,15,53.40051
3366873,2426261,5769801,1.241355972,3.54,6.6205,2010,9,4,22,23,14.44701
3366887,2443120,5747534,1.265516233,3.433,6.2144,2010,9,4,22,58,1.89349
3366890,2440260,5747482,1.26950917,3.003,8.8971,2010,9,4,23,3,46.88324
3366891,2464301,5729887,1.272452611,3.289,5,2010,9,4,23,8,1.19659
3393152,2464851,5727671,1.273604234,3.048,5,2010,9,4,23,9,40.69678
3393157,2441538,5732972,1.276140657,2.636,5,2010,9,4,23,13,19.84373
3366893,2420502,5734298,1.276800607,3.305,5,2010,9,4,23,14,16.86343
3366896,2425231,5767074,1.279134677,2.637,8.8507,2010,9,4,23,17,38.52709
