OBJECTID	AU_NO	AU_NAME	Shape_Leng	Shape_Area	AREA	TOTAL	P_UNDER_20	P_20_TO_39	P_40_TO_49	P_60_TO_79	P_OVER_80	T019	T2039	T4059	T6079	T80P	TB_CASES	Gi
14	518202.00000000000	Mt Eden East	3664.39470054000	738462.50000000000	Mt Eden East	2781	0.27615965500	0.32254584700	0.30960086300	0.07551240600	0.01618123000	768	897	861	210	45	4	-1.332935626
15	518201.00000000000	Balmoral	5104.43632670000	1397890.00000000000	Balmoral	5439	0.26475455000	0.38389409800	0.27633756200	0.06453392200	0.01047986800	1440	2088	1503	351	57	2	-0.34194623
16	515302.00000000000	Ponsonby East	3698.09631213000	716899.00000000000	Ponsonby East	3285	0.14977168900	0.51232876700	0.25388127900	0.07488584500	0.00913242000	492	1683	834	246	30	3	-0.929264402
17	515301.00000000000	Ponsonby West	4040.35176771000	702261.50000000000	Ponsonby West	2394	0.24561403500	0.41854636600	0.25062656600	0.06140350900	0.02380952400	588	1002	600	147	57	3	-1.365802719
25	518500.00000000000	Three Kings	5904.77413984000	1814196.00000000000	Three Kings	5265	0.27635327600	0.36068376100	0.25014245000	0.09002849000	0.02279202300	1455	1899	1317	474	120	5	2.13261744
26	515600.00000000000	Eden Terrace	2955.24456518000	463232.50000000000	Eden Terrace	1995	0.11578947400	0.66165413500	0.17443609000	0.04812030100	0.00000000000	231	1320	348	96	0	1	-1.432015005
35	520202.00000000000	Ellerslie South	7041.43229604000	1351133.00000000000	Ellerslie South	2013	0.18777943400	0.46199701900	0.25782414300	0.07302533500	0.01937406900	378	930	519	147	39	2	-0.517593561
36	520201.00000000000	Ellerslie North	7047.98606911000	1718381.00000000000	Ellerslie North	6030	0.21691542300	0.38855721400	0.25472636800	0.10796019900	0.03184079600	1308	2343	1536	651	192	4	0.595187154
37	516002.00000000000	Remuera South	4552.75967821000	1121795.50000000000	Remuera South	3753	0.30055955200	0.26139088700	0.30855315700	0.09592326100	0.03357314100	1128	981	1158	360	126	4	-1.45498167
38	516003.00000000000	Abbotts Park	7670.05231584000	1876617.50000000000	Abbotts Park	4416	0.20584239100	0.36616847800	0.27649456500	0.10326087000	0.04823369600	909	1617	1221	456	213	1	-0.97419985
39	516800.00000000000	Glendowie	6750.98926149000	2041038.50000000000	Glendowie	4050	0.32000000000	0.20518518500	0.32444444400	0.11925925900	0.03111111100	1296	831	1314	483	126	1	-1.50565985
40	516001.00000000000	Mt Hobson	4601.02985445000	903547.00000000000	Mt Hobson	1743	0.30292599000	0.29432013800	0.28227194500	0.09638554200	0.02409638600	528	513	492	168	42	1	-1.469187966
51	520500.00000000000	Mt Wellington South	18890.96749710000	6801238.50000000000	Mt Wellington South	5616	0.34882478600	0.33119658100	0.21901709400	0.08653846200	0.01442307700	1959	1860	1230	486	81	13	0.533921187
52	519200.00000000000	Mt St John	5647.92049021000	1317835.00000000000	Mt St John	4632	0.35492228000	0.22344559600	0.29145077700	0.09585492200	0.03432642500	1644	1035	1350	444	159	6	-1.326785549
53	516302.00000000000	Meadowbank South	6898.11656339000	2478007.50000000000	Meadowbank South	4845	0.23777089800	0.28544891600	0.30092879300	0.13808049500	0.03777089800	1152	1383	1458	669	183	6	0.160192137
55	516301.00000000000	Meadowbank North	8623.82340413000	2266721.00000000000	Meadowbank North	6144	0.25341796900	0.30322265600	0.27294921900	0.12402343800	0.04638671900	1557	1863	1677	762	285	5	-0.810986507
67	519500.00000000000	Penrose	12975.08230620000	4203096.50000000000	Penrose	657	0.24657534200	0.45205479500	0.24200913200	0.05479452100	0.00456621000	162	297	159	36	3	0	-0.393861851
69	516602.00000000000	Kohimarama East	5618.20697184000	1307016.50000000000	Kohimarama East	3564	0.24831649800	0.21885521900	0.33585858600	0.16329966300	0.03367003400	885	780	1197	582	120	1	-1.296772569
70	516601.00000000000	Kohimarama West	4376.79235617000	1074179.00000000000	Kohimarama West	3246	0.21164510200	0.26617375200	0.29297597000	0.18299445500	0.04621072100	687	864	951	594	150	1	-0.704581268
77	517002.00000000000	Glen Innes East	4982.47938017000	1133068.50000000000	Glen Innes East	2922	0.40349076000	0.27207392200	0.23305954800	0.07494866500	0.01642710500	1179	795	681	219	48	0	0.123847347
78	517001.00000000000	Glen Innes West	5885.97033035000	1585799.50000000000	Glen Innes West	4509	0.38522954100	0.28143712600	0.22621423800	0.08915502300	0.01796407200	1737	1269	1020	402	81	5	-0.828119637
79	517800.00000000000	Mt Albert Central	7940.10467311000	1949779.50000000000	Mt Albert Central	5700	0.27526315800	0.36210526300	0.24842105300	0.08894736800	0.02526315800	1569	2064	1416	507	144	10	1.39588406
80	515420.00000000000	Grey Lynn East	4097.31999232000	784785.00000000000	Grey Lynn East	3333	0.18631863200	0.52295229500	0.22862286200	0.05670567100	0.00540054000	621	1743	762	189	18	3	-1.115224746
81	514102.00000000000	Auckland Central West	5639.68434327000	1166261.00000000000	Auckland Central West	12270	0.09535452300	0.57139364300	0.21711491400	0.10929095400	0.00684596600	1170	7011	2664	1341	84	21	-1.430755752
82	514103.00000000000	Auckland Central East	4833.56775860000	926032.00000000000	Auckland Central East	9645	0.14836703000	0.62363919100	0.15769828900	0.06656298600	0.00373250400	1431	6015	1521	642	36	3	-1.156093583
83	514900.00000000000	Waterview	5349.84274184000	1072844.00000000000	Waterview	3411	0.25769569000	0.40017590100	0.22075637600	0.09498680700	0.02638522400	879	1365	753	324	90	3	0.767450675
98	514402.00000000000	Glenavon	7347.60464818000	1733987.00000000000	Glenavon	5709	0.29059379900	0.34944824000	0.23279033100	0.10772464500	0.01944298500	1659	1995	1329	615	111	13	1.56758978
100	514401.00000000000	Roberton	7956.81774977000	1496742.00000000000	Roberton	4932	0.24635036500	0.38138686100	0.24270073000	0.10888077900	0.02068126500	1215	1881	1197	537	102	5	4.010446418
102	519820.00000000000	Onehunga South East	6249.30014662000	1570591.00000000000	Onehunga South East	3303	0.23614895500	0.37965485900	0.25068119900	0.10899182600	0.02452316100	780	1254	828	360	81	10	0.680553073
106	515432.00000000000	St Lukes North	2273.33769818000	199483.50000000000	St Lukes North	729	0.21399177000	0.51028806600	0.22633744900	0.03703703700	0.01234567900	156	372	165	27	9	0	0.053242502
107	515431.00000000000	Surrey Crescent	4749.29778054000	980979.00000000000	Surrey Crescent	2688	0.24218750000	0.41071428600	0.23772321400	0.09263392900	0.01674107100	651	1104	639	249	45	2	-1.677035863
108	517600.00000000000	St Lukes	5755.79466756000	1179228.50000000000	St Lukes	4155	0.21227436800	0.51624548700	0.20072202200	0.05992779800	0.01083032500	882	2145	834	249	45	3	0.62355034
111	514700.00000000000	Blockhouse Bay	8577.28675853000	2450890.50000000000	Blockhouse Bay	5883	0.25446200900	0.25344212100	0.26619071900	0.16828148900	0.05762366100	1497	1491	1566	990	339	8	1.047619356
114	518803.00000000000	Akarana	6080.30804697000	2102555.33995000000	Akarana	5199	0.34275822300	0.28043854600	0.25678015000	0.09521061700	0.02481246400	1782	1458	1335	495	129	17	1.94155495
115	518802.00000000000	Wesley	5119.20638828000	1180796.00000000000	Wesley	2637	0.31854380000	0.31171786100	0.23777019300	0.10352673500	0.02844141100	840	822	627	273	75	6	2.425694095
116	518801.00000000000	Walmsley	4759.65782115000	1150541.50000000000	Walmsley	3681	0.37815810900	0.31214343900	0.22004890000	0.07253463700	0.01711491400	1392	1149	810	267	63	10	2.344991412
117	515902.00000000000	Parnell West	8393.34514887000	2106834.00000000000	Parnell West	4779	0.13873195200	0.43188951700	0.28123038300	0.12931575600	0.01883239200	663	2064	1344	618	90	0	-2.108780143
118	515100.00000000000	Westmere	7580.57840146000	1564510.50000000000	Westmere	4662	0.27670527700	0.32303732300	0.29858429900	0.08043758000	0.02123552100	1290	1506	1392	375	99	1	-0.665125148
119	515901.00000000000	Parnell East	6218.05059858000	891671.50000000000	Parnell East	2145	0.19020979000	0.31468531500	0.32727272700	0.14545454500	0.02237762200	408	675	702	312	48	0	-2.345666632
125	518302.00000000000	Mt Eden South	5352.03777967000	1104876.50000000000	Mt Eden South	4725	0.25904761900	0.36126984100	0.27746031700	0.08000000000	0.02222222200	1224	1707	1311	378	105	2	-0.40153262
126	518301.00000000000	Maungawhau	5036.27037274000	1011579.50000000000	Maungawhau	3708	0.27669902900	0.36650485400	0.26699029100	0.07119741100	0.01860841400	1026	1359	990	264	69	1	-0.363497307
